"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7356",503.378434172817,503.371704101562,503.380981445312,971.176,967.116,975.241,29627.8125,28817.3779845506,9498,47,1
"CP7357",594.936652061671,594.932067871094,594.938842773438,964.068,955.943,968.132,77526.1029999998,76968.9013539323,11533,71,1
"CP7358",594.935620328041,594.933898925781,594.937866210938,972.193,968.132,975.241,31349.6744285716,30978.2719695026,6445,39,1
"CP7359",620.94696990277,620.942077636719,620.952758789062,963.052,957.976,968.132,39963.8599999998,39128.5632337077,6784,33,1
"CP7360",767.536192102993,767.529663085938,767.539733886719,962.035,954.927,970.16,72433.9305333331,65070.8026458048,15014,27,1
"CP7361",502.375064799914,502.370788574219,502.377288818359,971.176,967.116,975.241,85913.75,84486.7854634831,22517,75,1
"CP7362",546.353175175487,546.349914550781,546.357299804688,968.132,963.052,973.208,130742.250399999,127797.297248854,21553,56,1
"CP7363",573.424344439517,573.416870117188,573.430053710938,972.193,969.146,976.258,23780.4960000003,23401.1626966295,5428,27,1
"CP7364",455.847693896743,455.844390869141,455.850189208984,973.208,969.146,975.241,9303.00166666671,9233.32006554311,2714,31,1
"CP7365",458.348276537492,458.347564697266,458.350860595703,972.193,967.116,975.241,64768.4375,63791.6230688202,18657,81,1
"CP7366",477.359015975895,477.353210449219,477.362365722656,972.193,968.132,976.258,32733.5595000004,30443.3970505621,6784,24,1
"CP7367",477.359296219008,477.353424072266,477.366546630859,964.068,960.007,968.132,24116.015625,21826.1350070225,4410,15,1
"CP7368",527.380797073101,527.378173828125,527.382141113281,968.132,963.052,973.208,132137.684799999,131190.891699999,23327,137,1
"CP7369",590.427944618099,590.423034667969,590.43310546875,969.146,956.959,981.337,160804.39825,152515.050813203,21701,41,1
"CP7370",616.950425819504,616.946166992188,616.953125,960.007,952.896,968.132,121631.019466667,120056.923009524,14247,68,1
"CP7371",636.426841543799,636.423156738281,636.429260253906,977.273,972.193,983.366,31354.4851818182,27175.4446060606,5767,12,1
"CP7372",650.456207145965,650.443572998047,650.470520019531,982.351,977.273,989.457,39607.1379999999,39593.9386666666,5428,5427,1
"CP7373",650.455515551116,650.44921875,650.460327148438,973.208,968.132,977.273,23085.0876666669,23074.9310000002,2714,2713,1
"CP7374",650.443894912803,650.432312011719,650.450439453125,963.052,955.943,968.132,18604.4769999999,18591.2722499999,2713,2712,1
"CP7375",678.48147882451,678.47705078125,678.484924316406,965.084,961.021,969.146,154316.09375,150596.995192308,40451,79,1
"CP7376",711.506529832391,711.499328613281,711.515625,963.052,953.911,971.176,94394.8641176476,88195.2782773114,10855,25,1
"CP7377",738.017363391085,738.010986328125,738.02734375,964.068,960.007,969.146,25146.4662222222,24113.7592222222,4410,26,1
"CP7378",893.661257893636,893.657348632812,893.665832519531,975.241,969.146,979.305,33427.1736,33193.0029426966,5767,50,1
"CP7379",936.686022225275,936.676879882812,936.693542480469,968.132,960.007,979.305,71319.3138947369,70610.2750183324,6106,50,1
"CP7380",511.374784459197,511.370391845703,511.380065917969,971.176,967.116,976.258,22398.9157777779,20923.1357777779,4071,15,1
"CP7381",526.379635078731,526.376342773438,526.380615234375,968.132,963.052,973.208,859732.821199996,857353.947466662,163783,502,1
"CP7382",526.377775799548,526.374084472656,526.380065917969,955.943,951.882,963.052,160417.447272728,157822.683966943,34082,104,1
"CP7383",547.408440221516,547.406921386719,547.413330078125,970.16,966.1,974.225,36174.53125,35221.2019230769,9837,46,1
"CP7384",563.907894467554,563.904724121094,563.91162109375,972.193,961.021,982.351,69597.7585714287,68048.2864285715,6784,34,1
"CP7385",821.584241051036,821.569305419922,821.59375,981.337,977.273,982.351,7923.71119999996,7917.61759999996,2374,2373,1
"CP7386",821.580127492951,821.569061279297,821.593872070312,972.193,967.116,977.273,16191.2737000001,16180.1010000001,2714,2713,1
"CP7387",937.689159068583,937.665344238281,937.700408935547,970.16,960.007,986.413,45816.4412307693,45791.050846154,4749,4748,1
