,precursor_mz,precursor_rt,precursor_intensity,DeepDIA_corr,MSDIAL_corr
12,546.820288637419,46.114,4466.0,0.6777885697229314,0.7988405454806249
22,440.856436824813,46.114,9391.0,0.9676545902835962,0.9445586413885281
27,135.03054499101998,46.114,4054.0,0.8785071995195755,0.9159173481038705
35,255.086393076113,59.198,79333.0,0.9652265992844565,0.9801659553728675
41,332.11801780247396,69.39,7839.0,0.9607032906398907,0.9096980517938641
44,366.101491914088,98.87700000000001,3372.0,0.5044683817958773,0.7755842229642714
61,303.08141516585397,220.22099999999998,5279.0,0.6413392219294763,0.6882664648244741
64,230.011679192239,298.653,12544.0,0.980148828569693,0.9780147917814401
73,414.99938535600404,317.954,1945.0,0.4995930819279252,0.8076474458333378
75,107.05090122165701,317.954,16836.0,0.8857001724356043,0.9062336470438249
76,188.009801219273,317.954,48394.0,0.2465543242458822,0.24521933226620274
78,187.00667392628503,317.954,555758.0,0.9963371541814315,0.9944504802572807
79,599.24739937353,366.517,1754.0,0.9191929231289152,0.9232568721405241
80,226.01625898417302,376.792,106846.0,0.9437690947179788,0.9426947269307097
81,267.12187486659303,394.653,31175.0,0.5499664343744518,0.7861014100550162
85,331.12826511156504,406.24199999999996,7614.0,0.5380966046556303,0.723538033996489
92,311.13921236934,447.293,127678.0,0.9719902353776715,0.9715453699423691
93,350.148273842048,453.575,7515.0,0.9529076730724434,0.9342860646833197
108,361.198879353114,529.578,3431.0,0.931086154089795,0.7852110495071816
116,367.15566997590497,556.0790000000001,77382.0,0.9521158788887933,0.9508801471245408
120,385.25693072128996,563.725,30115.0,0.9405599588852204,0.9771143026051533
121,463.30340894553495,566.2909999999999,14424.0,0.9379280528919697,0.922365803280767
126,511.298444683179,602.4630000000001,7001.0,0.9599790078629562,0.8784123089140742
140,357.995184025986,625.05,57616.0,0.8777229153457341,0.8630212940387534
156,457.349755565467,684.2869999999999,14500.0,0.9290621602763608,0.8176657513092594
164,391.28279785997,676.405,23961.0,0.8089726675960778,0.8048537775411598
171,413.32421289082004,706.5210000000001,71356.0,0.9364865882960329,0.9297223414370387
180,485.380666373523,743.567,18445.0,0.8291993667888398,0.8881174141440185
216,441.355233478343,694.83,33727.0,0.9566867811479588,0.8611482950624494
217,441.35401539539004,761.413,23744.0,0.9130008955861239,0.8633386451931915
223,272.228731204922,786.8389999999999,12666.0,0.23434771516498346,0.2343418634928705
226,445.327871075857,744.8580000000001,104961.0,0.9274110682758563,0.9229920430452653
230,619.284961967759,790.6669999999999,55802.0,0.8870568366914565,0.8319364273716668
239,513.410330116389,788.1160000000001,71248.0,0.9162296929578143,0.9646994107970392
241,513.411547462627,779.242,13776.0,0.8844817244400789,0.9642029262507301
244,433.23341619984706,772.883,44648.0,0.9265143651115129,0.9390955022804717
249,325.236626185094,800.812,5923.0,0.9185823046988667,0.8473982783852492
255,433.136749599291,738.1489999999999,6105.0,0.5710333213877803,0.42817422504884634
258,457.232899828008,775.445,86111.0,0.9636929889623381,0.9796107102611398
263,624.950768350049,794.452,9695.0,0.9661995110152771,0.6600963986823225
266,467.37115203947303,698.7239999999999,41947.0,0.9338939175982532,0.9309754074282336
269,327.229888294153,804.5830000000001,351122.0,0.9502745244699747,0.8354693781793517
273,528.288257368451,813.378,90453.0,0.9296438937107745,0.9013511725025167
274,447.34352907397596,772.883,12527.0,0.512319651710554,0.2269614024183735
275,447.344246839898,761.413,10681.0,0.5348776237577919,0.6960538477357929
277,469.3856925151,746.1469999999999,10658.0,0.9590022605567291,0.9339749470132473
285,602.303621847813,820.951,25326.0,0.9680519175089112,0.9461341592998481
291,303.230182798226,805.837,449666.0,0.9282921405071455,0.7006697404606353
292,353.19569423025,812.112,8266.0,0.98171480511096,0.9425784580031134
293,511.46877627647103,817.178,242936.0,0.9861426225511292,0.9905688292261651
299,279.231351213493,799.561,2951484.0,0.9309720396981709,0.9311902918566234
331,524.272954380526,841.062,71528.0,0.9533671091396384,0.902085108754006
333,475.37485324988404,813.378,6452.0,0.9138686869260143,0.7120811957571784
336,500.272383721129,843.568,80900.0,0.9569552743033617,0.918297186261959
340,457.232112527391,854.918,14667.0,0.6750285663999789,0.6238730025426393
341,550.31022106515,854.918,4795.0,0.34747079293518107,0.27002342955569286
343,565.328645418452,854.918,7615.0,0.6853863248944201,0.6335742871003547
347,476.27502393489095,843.568,104984.0,0.9606548207407971,0.7546625524961936
349,542.305146190847,847.347,40603.0,0.9498089984710674,0.9305269334709839
350,542.304394217064,833.4889999999999,2316.0,0.4320728211006714,0.42119971475255946
351,542.318516477118,856.171,8179.0,0.33239594781481285,0.4232579741007665
356,524.292585921993,856.171,4795.0,0.7208333016941663,0.6910558164588577
360,599.315615722675,859.939,92401.0,0.8953397541643374,0.9107607246284947
361,599.315917900955,848.605,6038.0,0.9527698071003411,0.8886837183895514
364,628.320682203635,852.404,217068.0,0.9153857487134968,0.8880347162311512
365,628.316618265727,842.313,16077.0,0.9004555928674436,0.8917183754294196
366,554.303925603183,832.227,178275.0,0.8015135938153967,0.9436930313876655
370,453.278058694968,867.4989999999999,21964.0,0.5907360301358251,0.5732270133975325
372,433.231313891073,854.918,47004.0,0.9885976059134768,0.9874669000253731
378,605.324314774182,854.918,111776.0,0.6261134217085449,0.48415319146074987
383,604.319370245189,854.918,314668.0,0.9375992707596714,0.9368329222613229
387,464.27332090931503,881.43,12692.0,0.8201570122488578,0.7982339640792875
390,616.352684245476,881.43,2538.0,0.9219362472022954,0.7795601210447304
395,580.321308180665,843.568,107266.0,0.9360006155080259,0.8936574968689187
397,494.321146517927,881.43,27333.0,0.924920452638657,0.8873056241143041
399,495.399936910858,791.924,43128.0,0.9222146646524535,0.8802942166863532
401,436.28031290224504,885.215,27068.0,0.9256742229525008,0.961588729954758
402,541.325988388497,867.4989999999999,4388.0,0.8556269684146915,0.8232148093443021
406,409.233023498794,881.43,131588.0,0.9936519185605349,0.9934500897772894
407,409.232716988471,867.4989999999999,27048.0,0.990974115660135,0.9905161235730626
413,478.289873094376,882.691,30601.0,0.9780613361021342,0.8243761100104405
420,436.251760968815,897.79,18897.0,0.9000474959436402,0.899216776909586
431,540.325737193046,881.43,49503.0,0.9020658193818543,0.9273771934527847
434,461.262054507695,897.79,12692.0,0.6935098022125719,0.8807537041371492
438,666.316578286855,896.534,4795.0,0.9549935163393881,0.8067350932479089
442,604.305024710849,896.534,8744.0,0.6259861620137369,0.6052802791944795
446,419.25311017252295,911.677,5935.0,0.9531325621739495,0.9599207182496806
459,570.3358342090261,901.564,17769.0,0.8913496683152013,0.8547038956652209
465,609.355092262256,914.2239999999999,16948.0,0.5182341756120031,0.5463664484001177
473,480.305794655899,930.7539999999999,176362.0,0.9705796570380435,0.9301456096471117
476,720.515465476932,912.947,9036.0,0.9536891829662266,0.8955119511203126
477,556.319945205346,881.43,2325207.0,0.9281522318246604,0.9280102509248372
478,556.318943698714,867.4989999999999,564827.0,0.8322036440671189,0.9317501758201552
479,596.350235913766,928.203,4267.0,0.7820217780432787,0.4485329265088468
489,465.31511639810304,945.2360000000001,10357.0,0.8354429143195482,0.7535913360046729
491,575.464254782985,910.408,20639.0,0.7760693650255961,0.7560569888671482
493,735.5243772217419,921.8530000000001,40593.0,0.8746895589460353,0.9480125502179165
494,417.283044925438,938.903,9607.0,0.9216549443270484,0.83530899428822
496,736.525569976891,924.3889999999999,18386.0,0.6864856812923238,0.5719859240556211
500,974.6390697764281,950.315,3667.0,0.614401803641181,0.205801554619673
501,297.277221875032,921.8530000000001,10512.0,0.32613986140498863,0.3167564089779899
510,549.364398695917,950.315,7333.0,0.9323698757958985,0.8502006426606854
511,522.350310149136,950.315,17769.0,0.9583126033173966,0.9483591463105169
513,437.26321597021,950.315,70778.0,0.9872963324076098,0.9868475518669819
514,437.264767902604,935.8530000000001,15361.0,0.9851914709563416,0.9841808127883966
520,610.366220569925,959.1519999999999,21853.0,0.9430825832192701,0.8835084575637319
525,465.298847248973,961.684,419605.0,0.9265079699965285,0.8714465464232223
528,577.477827939644,945.2360000000001,11215.0,0.8963951140760041,0.36646219019371334
539,598.369672893813,981.9830000000001,4679.0,0.9262835312137624,0.8542743977521926
549,557.453972677204,878.89,32323.0,0.30241986759390155,0.316619158502427
552,762.541462120997,973.11,17631.0,0.5464792910299326,0.5330689310643268
553,584.351763138467,950.315,1089721.0,0.9358428098673401,0.9345116674777947
554,556.4609354485,989.58,26582.0,0.49205908535551274,0.4907915598945384
555,492.34009138309403,995.928,11125.0,0.8865070965828422,0.882536577677237
556,698.283971625762,997.2,30959.0,0.4493832053000812,0.561697579620682
565,842.5494857716831,956.615,19581.0,0.8390534549836912,0.8905910604158134
573,612.3839073406871,1012.44,6205.0,0.8560485238451638,0.806836097183869
574,700.5227480784331,1007.35,12692.0,0.6901400662125392,0.5885969344319623
591,750.538469964987,975.6439999999999,39225.0,0.8822028023508187,0.7365807318984023
592,750.5384822249961,987.058,54207.0,0.885001568438281,0.7382980522958918
599,721.4967494071159,1022.59,10099.0,0.596344020165014,0.5032610624444632
600,761.538213710802,973.11,41995.0,0.9371039143308485,0.8783413400326012
608,771.510920223567,1020.06,8179.0,0.8670392401972492,0.7277136162969957
610,857.511117480019,1016.25,1359725.0,0.7217848307428286,0.7833534950073654
