"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP7820",817.525221712729,817.517227172852,817.538558959961,1083.97,1079.04,1087.9,10703.8644444446,10595.5755555557,1512,97,1
"CP7821",817.569660239603,817.528076171875,817.587626139323,1120.38,1104.63,1132.2,100688.593928571,100579.567110389,7134,563,1
"CP7822",817.57173964186,817.540222167969,817.589279174805,1097.74,1092.82,1102.66,19987.0080000003,19945.6800000003,3290,260,1
"CP7823",821.546123372235,821.526733398438,821.56298828125,986.524,980.616,991.444,82787.9349090907,82754.8602909089,10194,1151,1
"CP7824",821.542767078793,821.510406494141,821.563903808594,1044.59,1038.69,1049.51,16388.3654545454,16355.3152727272,3194,360,1
"CP7825",821.556035492684,821.526809692383,821.577453613281,1057.39,1049.51,1062.31,17560.6153846153,17522.0184615384,2210,249,1
"CP7826",821.546694831428,821.497762044271,821.587158203125,1000.31,993.414,1006.21,120019.589846154,119981.004984616,12051,1361,1
"CP7827",821.513075313927,821.468627929688,821.563781738281,1024.91,1016.05,1029.83,45027.1342857142,44985.7942857142,12630,1426,1
"CP7828",821.516487930055,821.475260416667,821.580993652344,975.693,968.802,980.616,60021.0269999998,59985.1911999998,5981,675,1
"CP7829",821.523600936194,821.494689941406,821.556274414062,963.88,959.942,968.802,27941.4866666667,27913.9222222223,3521,355,1
"CP7830",821.540027815394,821.509602864583,821.579681396484,1010.15,1006.21,1016.05,44776.9199999996,44746.6127999996,6445,728,1
"CP7831",821.573145860861,821.518005371094,821.611328125,1113.49,1067.23,1158.78,1089369.20053763,1047811.82627439,26586,57,1
"CP7832",833.562668950178,833.496435546875,833.604461669922,1066.24,1053.45,1074.12,40033.8528571426,39978.7328571426,3752,465,1
"CP7833",833.572913929662,833.527994791667,833.604644775391,1151.88,1125.3,1172.56,79060.0725,78973.23225,3589,612,1
"CP7834",833.556631557499,833.534301757812,833.579650878906,1000.31,992.43,1014.09,51566.5527272729,51525.7925454547,3617,635,1
"CP7835",833.539865705923,833.513793945312,833.582931518555,1019.99,1014.09,1024.91,2928252.0109091,2927538.87454547,1478592,10195,1
"CP7836",833.580669130684,833.552449544271,833.603108723958,1042.62,1024.91,1048.53,54656.6799999997,54632.0758333331,4203,3052,1
"CP7837",833.607104619068,833.574310302734,833.623718261719,1106.6,1079.04,1121.37,115956.63627907,115895.996093023,4321,918,1
"CP7838",845.584707978301,845.556376139323,845.605163574219,1076.09,1070.18,1087.9,390968.173333334,378187.192638889,35565,37,1
"CP7839",845.581136832931,845.537582397461,845.615763346354,1121.37,1091.84,1140.07,178868.337142857,178474.622857143,6115,676,1
