"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP0058",526.416498267189,526.397830580078,526.431482098754,47.958,43.882,52.033,3563.005875,3553.836,899,898,1
"CP0059",526.425896312252,526.421237119468,526.432025088688,7.203,4.146,13.316,2144.76111111111,2134.57222222222,362,357,1
"CP0060",526.43433388291,526.426280786154,526.448208151866,24.524,20.448,27.58,1848.20685714286,1840.056,333,332,1
"CP0061",526.429903828915,526.411644207966,526.449257993153,66.297,61.203,70.373,2019.43777777778,2009.24888888889,310,309,1
"CP0062",526.426985105178,526.410190543484,526.432399354468,31.656,27.58,37.769,2375.0559,2363.848,309,308,1
"CP0063",526.426467726133,526.404074605831,526.433979303375,59.165,52.033,61.203,1869.66111111111,1859.47222222222,262,261,1
"CP0064",526.428296812796,526.423221309736,526.435403497024,75.467,70.373,78.524,2115.1845,2107.0335,408,407,1
"CP0065",300.202927499602,300.200398459449,300.205515629252,76.486,68.335,80.562,6615.82591666667,6104.73731666667,1180,27,1
"CP0066",345.238157140582,345.224810206455,345.247272241363,77.505,73.43,79.543,3220.53216666667,3066.33395652174,885,26,1
"CP0067",195.121796921382,195.111739844447,195.127399215709,76.486,68.335,84.637,12785.862375,12011.517375,2065,30,1
"CP0068",327.199075346531,327.19654836583,327.200008069246,75.467,70.373,80.562,3944.1619,3591.18582857143,692,22,1
"CP0069",388.255734345896,388.252259786094,388.257727423428,74.448,68.335,80.562,8934.88025,8312.00479918033,1583,35,1
"CP0070",344.224831672436,344.202414193405,344.234559604781,74.448,34.712,110.109,17577.6897837838,13521.5349594595,1531,28,1
"CP0071",476.30580928963,476.29762755211,476.312171562406,79.543,76.486,83.618,5606.77085714285,5442.61888966318,1308,41,1
"CP0072",53.0154242171723,53.0112647627807,53.0185565036594,79.543,75.467,83.618,4976.1855,4968.0345,981,980,1
"CP0073",53.015379003621,53.0145658771944,53.017541774067,73.43,71.392,75.467,1818.46875,1814.39375,585,584,1
"CP0074",432.280411834936,432.280111682268,432.280845962333,77.505,75.467,82.6,6103.81,5781.8706984127,1475,50,1
"CP0075",432.280411834936,432.280111682268,432.280845962333,77.505,70.373,82.6,9623.66791666666,9201.69085714285,1475,53,1
"CP0076",432.253805301449,432.235949607067,432.273128538369,47.958,43.882,52.033,1944.0135,1651.88748214286,601,21,1
"CP0077",432.280411834936,432.280111682268,432.280845962333,77.505,70.373,82.6,9623.66791666666,9222.50586904761,1475,50,1
"CP0078",218.18584669418,218.183121957812,218.188331091688,78.524,74.448,84.637,5827.0891,5815.50890961539,1475,241,1
"CP0079",232.183762263326,232.17783462155,232.188160859349,79.543,73.43,84.637,5135.86245454545,5118.397,1078,168,1
"CP0080",175.134223193907,175.129597827789,175.139101527686,78.524,73.43,83.618,5277.38399999999,5171.29734193548,1230,63,1
"CP0081",520.33208038449,520.323918735181,520.343259185517,77.505,69.354,86.675,7380.78376470588,6913.11676470588,1230,72,1
"CP0082",520.324252699576,520.310867594926,520.341746534505,64.26,57.128,69.354,2287.28083333333,1951.06583333333,334,19,1
"CP0083",696.433382685219,696.4271388231,696.435924841118,80.562,77.505,85.656,2533.942125,2494.93376785715,654,51,1
"CP0084",131.117751495507,131.116854145688,131.118420657042,78.524,73.43,83.618,26024.2272,25832.6200285714,5582,213,1
"CP0085",174.132572191718,174.130522867573,174.133993393683,78.524,73.43,82.6,43849.921111111,43745.5842424242,10910,508,1
"CP0086",231.181259356329,231.179343871153,231.183743484373,78.524,73.43,83.618,30644.4852,30588.0239612903,6560,440,1
"CP0087",564.357473070175,564.348064354231,564.36810787617,79.543,75.467,84.637,4253.86111111111,4131.59444444445,820,52,1
"CP0088",564.358367290134,564.353144198623,564.360174885109,63.241,60.184,68.335,1644.46425,1546.65225,473,30,1
"CP0089",564.357493966163,564.342807347385,564.362723263243,72.411,68.335,75.467,2306.69257142857,2208.88228571429,577,36,1
"CP0090",608.387479031198,608.377045740229,608.39067374033,78.524,74.448,85.656,4196.88654545455,4102.57751871658,820,53,1
"CP0091",608.380559839187,608.371026798749,608.385481344633,63.241,59.165,68.335,1685.24222222222,1614.51185457516,506,32,1
"CP0092",159.111533695163,159.106947158331,159.113776049526,79.543,74.448,83.618,4612.51,4495.94519230769,981,43,1
"CP0093",441.109988090065,441.106145407957,441.112624789885,78.524,76.486,83.618,4513.53714285714,4466.26217142857,885,48,1
"CP0094",441.112493549092,441.110642622264,441.11413446327,72.411,68.335,73.43,2093.02600000001,2057.56480000001,745,43,1
"CP0095",123.054766600662,123.053650208801,123.055719308548,72.411,68.335,77.505,150448.114444444,150152.259300412,38647,666,1
"CP0096",151.095308782992,151.09319558582,151.096526131675,78.524,74.448,82.6,6264.812,5991.13771428572,1769,30,1
"CP0097",155.116777496956,155.114574231024,155.119598429471,78.524,73.43,86.675,5181.85153846153,5064.53868131868,1475,63,1
"CP0098",173.128303669919,173.126878033688,173.128651731623,78.524,73.43,83.618,420630.9372,420523.351919999,73672,3177,1
"CP0099",280.093900485816,280.090058336404,280.096823967404,78.524,72.411,82.6,6283.5563,6272.3484,981,980,1
"CP0100",280.109131241799,280.103037339894,280.115091110544,27.58,23.505,30.637,4263.91714285714,4255.76628571429,697,696,1
"CP0101",280.106834866919,280.094316244012,280.113203375174,8.222,5.165,13.316,4616.522625,4607.35275,654,612,1
"CP0102",280.108852834213,280.108124467959,280.109893627851,60.184,56.109,64.26,4841.694,4832.524125,647,646,1
"CP0103",280.107565258025,280.105752574242,280.112214850615,47.958,37.769,51.014,6889.43769230769,6875.17384615385,678,677,1
"CP0104",280.106469080836,280.096619702619,280.108517052649,94.826,90.751,97.883,3377.51142857142,3370.37942857142,639,638,1
"CP0105",280.106346302831,280.09667707281,280.109661959523,3.127,0.07,5.165,2126.653,2121.558,498,497,1
"CP0106",280.108800843395,280.107301026258,280.113203396731,17.391,13.316,23.505,4931.476,4920.2681,647,646,1
"CP0107",280.107973182509,280.106134088242,280.109907016848,34.712,30.637,37.769,4311.80342857143,4303.65257142857,721,720,1
"CP0108",280.107713139146,280.098461685483,280.116260758454,54.071,51.014,56.109,2848.105,2841.991,572,571,1
"CP0109",280.104484547918,280.096201600365,280.109107868254,67.316,64.26,72.411,4334.29425,4325.124375,730,729,1
"CP0110",335.126318844598,335.103881755144,335.134383795116,78.524,74.448,82.6,5781.806,5359.94,1242,25,1
"CP0111",335.122072421658,335.113872309661,335.139179570687,61.203,57.128,68.335,2757.94081818182,2447.40503636364,562,24,1
"CP0112",335.117513408663,335.108657125223,335.137982294337,89.732,82.6,92.788,5874.4008,5589.74808,841,36,1
"CP0113",113.105931148608,113.104629830403,113.109294428808,78.524,73.43,82.6,9414.53333333332,8133.64444444443,2359,24,1
"CP0114",114.090159571726,114.088059139039,114.091037554991,77.505,73.43,84.637,21284.1306363636,20787.0201363636,4510,69,1
"CP0115",125.088860915586,125.083093957431,125.090220137972,80.562,68.335,86.675,7944.27666666667,7924.91777777778,1316,1315,1
"CP0116",125.089092730231,125.086918016477,125.091527530874,44.901,40.826,48.977,3455.005125,3445.83525,679,678,1
"CP0117",125.088487188313,125.078968798802,125.091590111286,8.222,4.146,12.297,2765.22675,2756.056875,544,543,1
"CP0118",125.089450048829,125.088434723469,125.090012412403,19.429,12.297,22.486,3242.1398,3230.9319,432,431,1
"CP0119",125.088998916359,125.087016192776,125.090236124147,29.618,23.505,36.75,4011.19730769231,3996.93346153846,394,393,1
"CP0120",125.08973940971,125.088448246922,125.089952544602,62.222,59.165,66.297,2682.65085714286,2674.5,540,539,1
"CP0121",125.088617203828,125.082775818097,125.090017789557,93.807,89.732,97.883,2843.680125,2834.51025,506,432,1
"CP0122",141.065626358599,141.05919433641,141.071278353472,96.864,92.788,98.902,1815.858,1767.81942857143,548,18,1
"CP0123",166.094624262704,166.091990453522,166.099918077175,97.883,88.713,103.996,8979.27193333334,7422.29811428571,3348,31,1
"CP0124",438.377398889701,438.376247454584,438.379200947256,98.902,94.826,100.939,4023.37283333333,3032.38761111111,1557,14,1
"CP0125",135.063609994115,135.062998183066,135.064799431689,101.958,98.902,106.034,5059.64457142857,5047.08685025818,1205,84,1
"CP0126",167.083777082788,167.07940083488,167.0849846171,103.996,101.958,111.128,2818.24666666667,2604.64827309237,1476,27,1
"CP0127",218.13747761345,218.134990292727,218.139661863891,105.015,102.977,109.09,4149.70816666667,4104.1061686747,1615,61,1
"CP0128",310.04230606226,310.03910928492,310.044437244148,99.92,95.845,101.958,2621.45816666667,2614.32633333333,779,778,1
"CP0129",310.044621735897,310.037071527967,310.056794808259,79.543,76.486,83.618,2925.13885714285,2918.00685714285,1230,1229,1
"CP0130",310.049173222812,310.036132788783,310.052699602053,88.713,83.618,91.769,1930.768125,1921.59825,428,427,1
"CP0131",120.673534456896,120.669479442905,120.677349852302,107.053,103.996,109.09,2421.6876,2417.6124,872,871,1
"CP0132",344.018594554127,344.015893308464,344.021901327213,107.053,102.977,112.147,4308.88111111111,4300.73,788,787,1
"CP0133",420.058983591943,420.056263375984,420.067147475046,100.939,93.807,114.185,17167.4461,17025.2849981928,2774,102,1
"CP0134",234.013064787644,234.011884804216,234.014768334975,111.128,107.053,118.26,4845.49927272728,4835.31109090909,788,787,1
"CP0135",192.054760082058,192.051580123584,192.057025711024,111.128,107.053,117.241,3322.3068,3312.1188,619,618,1
"CP0136",162.055822820313,162.052772330536,162.061407240664,110.109,107.053,118.26,4159.83463636364,4121.41063636364,601,69,1
"CP0137",191.052844097916,191.051986227105,191.055468366494,111.128,107.053,117.241,27397.5696,27387.3816,7269,1609,1
"CP0138",144.04425116671,144.043621221766,144.045470764448,110.109,106.034,116.222,8576.25839999999,8566.07039999999,1576,1575,1
"CP0139",168.064247472662,168.063171914796,168.069045162665,110.109,106.034,114.185,4636.900125,4143.07719126506,1002,12,1
"CP0140",122.053524920669,122.051482601556,122.055773329188,106.034,101.958,111.128,15562.5088888889,15530.4138888889,2856,218,1
"CP0141",134.059924193522,134.056661076445,134.06335668828,101.958,86.675,118.26,41923.4837096774,41770.21640553,5222,357,1
"CP0142",134.061367721947,134.05968891665,134.06479656014,123.355,120.298,126.411,1549.6455,1515.58735714286,363,24,1
"CP0143",153.075120001589,153.072819020695,153.079800216483,101.958,92.788,111.128,12755.47,12056.8518518519,1691,29,1
"CP0144",326.1612042554,326.145832212125,326.171410310681,111.128,107.053,117.241,8647.5744,7694.17884444445,1577,23,1
"CP0145",478.114480403878,478.109030890775,478.118022642899,98.902,94.826,108.071,24663.2088461539,24384.8060658017,3559,87,1
"CP0146",150.1143818013,150.111286819836,150.118986899159,120.298,113.166,127.43,4595.04571428572,4479.62375510204,792,24,1
"CP0147",190.049806934958,190.04916644808,190.050968762218,111.128,106.034,116.222,181306.6668,181222.345756626,40191,1670,1
"CP0148",563.139706587807,563.137182106339,563.149875095176,126.411,122.336,131.506,1565.01333333333,1546.3418875502,566,26,1
"CP0149",576.133115168193,576.125793488885,576.136533545646,126.411,122.336,128.449,2189.47283333334,2179.28450000001,594,44,1
"CP0150",121.051011891394,121.049927337403,121.051327226734,106.034,101.958,111.128,248562.02,248273.383333333,46135,953,1
"CP0151",171.084168762698,171.081537568735,171.085395838453,96.864,93.807,99.92,47117.9851666667,46952.9341666667,21259,671,1
"CP0152",171.084567347482,171.083505099341,171.085601970114,102.977,99.92,108.071,53138.40675,52890.820125,10164,320,1
"CP0153",612.179528520435,612.17408598109,612.189827777335,98.902,94.826,101.958,4599.12114285715,4590.97028571429,1557,1556,1
"CP0154",612.181692094629,612.159877192316,612.207741417555,26.561,23.505,57.128,10427.2055151515,10392.5636363636,600,599,1
"CP0155",612.184945967189,612.181614560804,612.188595000573,77.505,70.373,81.581,6012.58254545454,6000.35563636364,885,884,1
"CP0156",612.183468430456,612.17792699764,612.202358817667,7.203,0.07,16.373,4390.6016875,4374.2986875,370,369,1
"CP0157",612.176458637048,612.171142586324,612.179386449392,125.392,121.317,129.468,3276.702,3268.551,677,660,1
"CP0158",612.181465815169,612.176790794604,612.184139783913,66.297,61.203,70.373,2751,2740.81111111111,381,380,1
"CP0159",612.180819598926,612.177605981017,612.187730635953,90.751,81.581,94.826,4279.15384615384,4264.89,440,380,1
"CP0160",612.176061335673,612.170595801817,612.185007890937,103.996,101.958,106.034,2851.16200000001,2846.06700000001,808,807,1
"CP0161",612.180225313278,612.170747357997,612.184709363728,109.09,106.034,112.147,3818.58733333333,3811.4555,905,904,1
"CP0162",270.107089033884,270.102742479733,270.111140983999,127.43,122.336,130.487,2322.016125,2314.884,713,712,1
"CP0163",152.022911519748,152.020763545558,152.025532829607,129.468,126.411,131.506,1887.188,1883.112,611,610,1
"CP0164",172.120012983024,172.116453691671,172.126696922761,127.43,123.355,131.506,3385.721625,3075.36456170886,903,18,1
"CP0165",249.107244466373,249.103038688518,249.112410514327,128.449,124.373,131.506,3781.509,3775.395,1128,1127,1
"CP0166",333.02033366762,333.01302581101,333.022855811189,129.468,125.392,131.506,1656.894,1651.799,652,651,1
"CP0167",113.713096452797,113.7069890935,113.715992625879,129.468,126.411,134.562,3005.68125,2995.48022439759,942,48,1
