,exid,precursor_mz,precursor_rt,precursor_intensity,mz,intensity
2,4,554.172543927663,44.901,777,73.04840093927388,163.0
3,4,554.172543927663,44.901,777,223.0653375317996,620.0
4,4,554.172543927663,44.901,777,266.99585700136817,163.0
5,4,554.172543927663,44.901,777,281.0544396085158,209.0
6,4,554.172543927663,44.901,777,355.0704702045504,558.0
7,4,554.172543927663,44.901,777,356.0759414034801,279.0
8,4,554.172543927663,44.901,777,357.08283421239156,163.0
9,4,554.172543927663,44.901,777,371.0975855563666,746.0
10,4,554.172543927663,44.901,777,372.1009925749546,233.0
11,4,554.172543927663,44.901,777,373.1057543137122,233.0
12,4,554.172543927663,44.901,777,595.3841357529911,186.0
0,5,516.391835343791,44.901,607,46.06617939011855,442.0
1,5,516.391835343791,44.901,607,59.062535028095695,608.0
2,5,516.391835343791,44.901,607,285.205803376848,374.0
0,6,431.360062940496,45.92,685,46.070034141385264,615.0
1,6,431.360062940496,45.92,685,59.0625619511449,908.0
2,6,431.360062940496,45.92,685,223.0632006327629,256.0
3,6,431.360062940496,45.92,685,281.0520764032938,186.0
4,6,431.360062940496,45.92,685,283.2652037209242,256.0
5,6,431.360062940496,45.92,685,376.2650302718686,256.0
0,7,437.335882808338,44.901,545,46.068094260269525,824.0
1,7,437.335882808338,44.901,545,59.062535028095695,790.0
2,7,437.335882808338,44.901,545,71.0891748657315,186.0
3,7,437.335882808338,44.901,545,149.0210868066648,656.0
4,7,437.335882808338,44.901,545,207.0381587896362,209.0
5,7,437.335882808338,44.901,545,223.06316951243113,374.0
6,7,437.335882808338,44.901,545,341.0285250012177,163.0
0,8,410.360087216845,46.93899999999999,549,46.06728276063346,364.0
1,8,410.360087216845,46.93899999999999,549,59.063782357150544,640.0
2,8,410.360087216845,46.93899999999999,549,71.08697337425887,163.0
3,8,410.360087216845,46.93899999999999,549,89.05999065922671,516.0
4,8,410.360087216845,46.93899999999999,549,119.08352618825988,163.0
5,8,410.360087216845,46.93899999999999,549,121.0667107165504,186.0
6,8,410.360087216845,46.93899999999999,549,133.08345276757268,233.0
7,8,410.360087216845,46.93899999999999,549,239.1466295103777,326.0
0,9,428.359329293009,46.93899999999999,749,46.06728276063346,364.0
1,9,428.359329293009,46.93899999999999,749,59.063782357150544,640.0
2,9,428.359329293009,46.93899999999999,749,71.08697337425887,163.0
3,9,428.359329293009,46.93899999999999,749,89.05999065922671,516.0
4,9,428.359329293009,46.93899999999999,749,119.08352618825988,163.0
5,9,428.359329293009,46.93899999999999,749,121.0667107165504,186.0
6,9,428.359329293009,46.93899999999999,749,133.08345276757268,233.0
7,9,428.359329293009,46.93899999999999,749,239.1466295103777,326.0
0,10,352.30955181329,46.93899999999999,901,46.06824020205967,497.0
1,10,352.30955181329,46.93899999999999,901,69.07125316276581,163.0
2,10,352.30955181329,46.93899999999999,901,71.08578403198663,256.0
3,10,352.30955181329,46.93899999999999,901,81.0724772056632,210.0
4,10,352.30955181329,46.93899999999999,901,89.05732820756236,419.0
5,10,352.30955181329,46.93899999999999,901,95.08387699772209,256.0
6,10,352.30955181329,46.93899999999999,901,121.10085982218648,163.0
7,10,352.30955181329,46.93899999999999,901,133.08670744791212,210.0
8,10,352.30955181329,46.93899999999999,901,376.26261579026607,163.0
0,11,338.336030244685,45.92,867,46.067161790889166,683.0
1,11,338.336030244685,45.92,867,69.0711062761538,279.0
2,11,338.336030244685,45.92,867,95.08508155548901,233.0
3,11,338.336030244685,45.92,867,98.98538948236923,1310.0
4,11,338.336030244685,45.92,867,107.08540641272853,163.0
5,11,338.336030244685,45.92,867,111.11503771902275,163.0
6,11,338.336030244685,45.92,867,121.10222057273553,186.0
7,11,338.336030244685,45.92,867,174.9971162839595,209.0
8,11,338.336030244685,45.92,867,279.0926622456445,349.0
9,11,338.336030244685,45.92,867,302.245711973158,163.0
0,12,367.096296976801,53.052,2909,59.06258226626356,2464.0
1,12,367.096296976801,53.052,2909,89.05991344065069,303.0
2,12,367.096296976801,53.052,2909,182.08041936573645,186.0
3,12,367.096296976801,53.052,2909,195.12791794085243,186.0
4,12,367.096296976801,53.052,2909,359.1205177647273,259.0
5,12,367.096296976801,53.052,2909,386.1173126450061,209.0
0,13,367.086352892796,38.788000000000004,2986,59.062526435948506,3721.0
1,13,367.086352892796,38.788000000000004,2986,149.02479602822362,186.0
2,13,367.086352892796,38.788000000000004,2986,182.07662415497776,372.0
3,13,367.086352892796,38.788000000000004,2986,195.11808702566685,233.0
0,14,195.08727389156502,58.146,598,70.06654627211893,186.0
1,14,195.08727389156502,58.146,598,72.04633841965178,256.0
2,14,195.08727389156502,58.146,598,77.04032529930832,186.0
3,14,195.08727389156502,58.146,598,82.99907684223638,303.0
4,14,195.08727389156502,58.146,598,91.0558493213388,163.0
5,14,195.08727389156502,58.146,598,93.05621001299808,163.0
6,14,195.08727389156502,58.146,598,98.97426963910144,426.0
7,14,195.08727389156502,58.146,598,100.0761662147117,186.0
8,14,195.08727389156502,58.146,598,101.00970574651157,209.0
9,14,195.08727389156502,58.146,598,106.06468477722873,163.0
10,14,195.08727389156502,58.146,598,106.90459451789587,209.0
11,14,195.08727389156502,58.146,598,108.90179898220656,256.0
12,14,195.08727389156502,58.146,598,111.09137541134461,209.0
13,14,195.08727389156502,58.146,598,114.06831335216687,163.0
14,14,195.08727389156502,58.146,598,124.08550791665695,163.0
15,14,195.08727389156502,58.146,598,136.07644979818994,163.0
16,14,195.08727389156502,58.146,598,138.06819368589808,326.0
17,14,195.08727389156502,58.146,598,148.07570580246355,163.0
18,14,195.08727389156502,58.146,598,195.08644186774518,233.0
0,15,288.28867327685504,49.995,1375,46.06723587221768,523.0
1,15,288.28867327685504,49.995,1375,88.07759311069952,209.0
2,15,288.28867327685504,49.995,1375,95.08662899928173,163.0
3,15,288.28867327685504,49.995,1375,98.97574536378218,399.0
4,15,288.28867327685504,49.995,1375,106.08800551721093,326.0
5,15,288.28867327685504,49.995,1375,201.0441560912524,1456.0
6,15,288.28867327685504,49.995,1375,279.0955766086877,1459.0
7,15,288.28867327685504,49.995,1375,288.2950150227643,384.0
0,16,288.287083536051,55.09,864,46.069136420619046,510.0
1,16,288.287083536051,55.09,864,57.07192342456513,163.0
2,16,288.287083536051,55.09,864,59.0604466796578,214.0
3,16,288.287083536051,55.09,864,95.08510567620928,163.0
4,16,288.287083536051,55.09,864,98.97418255737834,256.0
5,16,288.287083536051,55.09,864,149.02280696032972,675.0
6,16,288.287083536051,55.09,864,196.9643027845273,256.0
7,16,288.287083536051,55.09,864,201.0476652020702,1205.0
8,16,288.287083536051,55.09,864,223.97414611458188,890.0
9,16,288.287083536051,55.09,864,250.98617142698066,209.0
10,16,288.287083536051,55.09,864,265.1158210456171,209.0
11,16,288.287083536051,55.09,864,274.2682990746095,209.0
12,16,288.287083536051,55.09,864,279.0900988931299,1242.0
13,16,288.287083536051,55.09,864,280.0878297973836,186.0
14,16,288.287083536051,55.09,864,288.2798469492509,163.0
0,17,317.176227210142,57.128,763,46.06719349172377,640.0
1,17,317.176227210142,57.128,763,58.06836452047676,351.0
2,17,317.176227210142,57.128,763,59.06260265760871,1253.0
3,17,317.176227210142,57.128,763,78.98768621757371,396.0
4,17,317.176227210142,57.128,763,86.09895312759608,772.0
5,17,317.176227210142,57.128,763,98.98405443201973,1036.0
6,17,317.176227210142,57.128,763,182.07830491331964,186.0
7,17,317.176227210142,57.128,763,279.09285581249384,349.0
8,17,317.176227210142,57.128,763,304.2823929370368,256.0
9,17,317.176227210142,57.128,763,324.15146330761814,186.0
0,18,253.17338859907102,60.184,1250,45.03706685209354,233.0
1,18,253.17338859907102,60.184,1250,59.049598722133155,284.0
2,18,253.17338859907102,60.184,1250,59.064775463907566,269.0
3,18,253.17338859907102,60.184,1250,78.98519884597953,256.0
4,18,253.17338859907102,60.184,1250,89.05858357899119,376.0
5,18,253.17338859907102,60.184,1250,98.97707425048456,372.0
6,18,253.17338859907102,60.184,1250,103.07731357527933,442.0
7,18,253.17338859907102,60.184,1250,133.08829468220713,186.0
8,18,253.17338859907102,60.184,1250,201.04803871778128,1324.0
9,18,253.17338859907102,60.184,1250,279.09542989133945,1277.0
0,19,270.194660863968,60.184,959,45.03706685209354,233.0
1,19,270.194660863968,60.184,959,59.049598722133155,284.0
2,19,270.194660863968,60.184,959,59.064775463907566,269.0
3,19,270.194660863968,60.184,959,78.98519884597953,256.0
4,19,270.194660863968,60.184,959,89.05858357899119,376.0
5,19,270.194660863968,60.184,959,98.97707425048456,372.0
6,19,270.194660863968,60.184,959,103.07731357527933,442.0
7,19,270.194660863968,60.184,959,133.08829468220713,186.0
8,19,270.194660863968,60.184,959,149.02302722657834,945.0
9,19,270.194660863968,60.184,959,201.04803871778128,1324.0
10,19,270.194660863968,60.184,959,265.12328470740493,186.0
11,19,270.194660863968,60.184,959,279.09542989133945,1277.0
12,19,270.194660863968,60.184,959,280.09317241779075,218.0
0,20,314.219068762959,60.184,1415,59.06152314079029,1643.0
1,20,314.219068762959,60.184,1415,78.98394517011248,589.0
2,20,314.219068762959,60.184,1415,103.07588140661095,326.0
3,20,314.219068762959,60.184,1415,152.06747092890475,233.0
4,20,314.219068762959,60.184,1415,219.17038318489924,256.0
5,20,314.219068762959,60.184,1415,240.23649260655807,475.0
0,21,143.117212795405,61.203,2621,43.021046553821215,307.0
1,21,143.117212795405,61.203,2621,43.05806405895612,467.0
2,21,143.117212795405,61.203,2621,58.068369384380816,465.0
3,21,143.117212795405,61.203,2621,59.07561620807731,311.0
4,21,143.117212795405,61.203,2621,73.04594497541353,927.0
