"","precursor_mz","precursor_rt","mz","intensity"
"1",177.027753353878,13.722,56.9863815307617,2
"2",177.027753353878,13.722,56.9970436096191,1
"3",177.027753353878,13.722,58.9849281311035,1
"4",177.027753353878,13.722,59.0001182556152,1
"5",177.027753353878,13.722,60.9947509765625,2
"6",177.027753353878,13.722,74.9936218261719,3
"7",177.027753353878,13.722,75.0095291137695,1
"8",177.027753353878,13.722,76.9897232055664,1
"9",177.027753353878,13.722,96.9616165161133,3
"10",177.027753353878,13.722,98.9651565551758,7
"11",177.027753353878,13.722,100.974983215332,1
"12",177.027753353878,13.722,102.974906921387,1
"13",177.027753353878,13.722,114.937606811523,2
"14",177.027753353878,13.722,114.975471496582,15
"15",177.027753353878,13.722,114.990623474121,1
"16",177.027753353878,13.722,115.972785949707,1
"17",177.027753353878,13.722,116.971351623535,26
"18",177.027753353878,13.722,117.040107727051,1
"19",177.027753353878,13.722,118.96745300293,1
"20",177.027753353878,13.722,118.982864379883,2
"21",177.027753353878,13.722,132.945159912109,3
"22",177.027753353878,13.722,132.981002807617,3
"23",177.027753353878,13.722,136.9375,1
"24",177.027753353878,13.722,140.936904907227,3
"25",177.027753353878,13.722,149.094635009766,1
"26",177.027753353878,13.722,158.947738647461,5
"27",177.027753353878,13.722,159.015411376953,2
"28",177.027753353878,13.722,176.95344543457,1
"29",177.027753353878,13.722,177.030502319336,1
"30",177.027753353878,13.722,177.086883544922,1
"31",111.947159723694,39.351,79.9564590454102,47
"32",111.947159723694,39.351,79.9703521728516,23
"33",173.008394593573,39.351,85.0291442871094,93
"34",173.008394593573,39.351,111.005546569824,23
"35",173.008394593573,39.351,129.01513671875,23
"36",196.925252996935,38.045,96.9586715698242,93
"37",196.925252996935,38.045,96.9670181274414,47
"38",196.925252996935,38.045,96.9753646850586,23
"39",196.925252996935,38.045,98.9523391723633,47
"40",196.925252996935,38.045,98.9706039428711,47
"41",196.925252996935,38.045,136.94221496582,70
"42",196.925252996935,38.045,138.936416625977,47
"43",196.925252996935,38.045,196.930389404297,23
"44",256.875833953792,39.351,136.940841674805,93
"45",256.875833953792,39.351,176.917724609375,93
"46",256.875833953792,39.351,238.878829956055,47
"47",256.875833953792,39.351,256.877258300781,186
"48",675.218800719612,36.761,412.089569091797,23
"49",675.218800719612,36.761,471.161224365234,23
"50",675.218800719612,36.761,543.171325683594,23
"51",675.218800719612,36.761,657.208374023438,93
"52",675.218800719612,36.761,675.219787597656,163
"53",191.018367341264,39.351,57.0355682373047,47
