"","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample"
"CP02109",610.254936218262,610.247436523438,610.266784667969,71.992,69.04,74.945,1578.60333333333,1573.6825,598,191,1
"CP02110",629.23686178775,629.229614257812,629.244384765625,71.992,68.056,74.945,4259.37028571428,4253.46542857143,1396,501,1
"CP02111",630.244684719147,630.2333984375,630.257507324219,71.992,68.056,74.945,1840.34714285714,1825.03261013825,642,38,1
"CP02112",631.231133199083,631.217529296875,631.240417480469,71.992,66.087,74.945,1692.86222222222,1674.53423789174,642,40,1
"CP02113",647.229788512914,647.216369628906,647.240539550781,71.992,68.056,74.945,1113.06557142857,1107.16071428571,321,83,1
"CP02114",669.208107614327,669.200622558594,669.213684082031,71.992,68.056,74.945,739.091285714285,733.186428571428,199,198,1
"CP02115",687.218980860011,687.214111328125,687.227661132812,71.992,68.056,74.945,1510.65928571428,1504.75442857143,399,398,1
"CP02116",706.222820593386,706.211059570312,706.233032226562,71.992,69.04,74.945,771.586666666665,766.665833333332,214,213,1
"CP02117",900.398326561428,900.388061523438,900.406677246094,71.992,68.056,74.945,4122.57442857143,4116.66957142857,1819,1818,1
"CP02118",115.074839459303,115.074287414551,115.077323913574,72.976,69.04,78.881,1151.397,1055.299635,295,20,1
"CP02119",152.107747839387,152.104339599609,152.109375,71.992,68.056,77.896,3775.608,3767.736,963,702,1
"CP02120",164.036158435497,164.031875610352,164.038864135742,72.976,70.025,75.929,1122.744,1104.34884076433,399,49,1
"CP02121",207.085646154665,207.082824707031,207.088928222656,70.025,62.151,76.913,18946.5349333333,18779.62592,3474,236,1
"CP02122",212.128311092991,212.123977661133,212.132583618164,71.992,68.056,77.896,2592.84,2577.47055483871,598,113,1
"CP02123",231.140698612718,231.135192871094,231.143676757812,71.992,68.056,77.896,1669.848,1659.24619354839,399,102,1
"CP02124",254.085814841621,254.083709716797,254.088912963867,71.992,68.056,77.896,3486.312,3468.02864516129,798,107,1
"CP02125",260.12922238527,260.125,260.131317138672,72.976,71.008,78.881,1271.4895,1253.00289873418,798,73,1
"CP02126",281.096120738224,281.092926025391,281.099945068359,73.96,69.04,77.896,1600.968,1583.30646153846,737,107,1
"CP02127",291.211071994985,291.204742431641,291.217559814453,71.992,68.056,77.896,5065.632,5056.776,1092,150,1
"CP02128",295.145118393978,295.142364501953,295.150451660156,71.992,68.056,76.913,2294.94711111111,2287.07422222222,598,178,1
"CP02129",303.068514322029,303.065002441406,303.070739746094,73.96,71.008,75.929,993.057800000001,977.136184810128,399,23,1
"CP02130",315.122655168983,315.119720458984,315.126892089844,71.992,68.056,75.929,3689.484625,3682.59575,921,588,1
"CP02131",324.108181418388,324.104949951172,324.117340087891,71.992,66.087,77.896,2761.33783333333,2700.57862365591,598,30,1
"CP02132",328.115153876854,328.102416992188,328.118041992188,71.008,65.103,77.896,7118.81246153846,7105.9086714213,1712,190,1
"CP02133",330.094330357603,330.086242675781,330.098968505859,71.992,66.087,77.896,2381.48166666667,2353.68607419355,642,60,1
"CP02134",348.095976477476,348.085021972656,348.103515625,71.008,58.214,85.77,2127.71685714286,2009.22605714286,428,40,1
"CP02135",355.132463133538,355.1298828125,355.136169433594,71.992,65.103,75.929,8008.28745454546,7999.42981818182,1698,374,1
"CP02136",375.165637593874,375.162780761719,375.173278808594,71.992,68.056,77.896,2801.448,2793.576,749,478,1
"CP02137",376.120803513027,376.115142822266,376.124328613281,71.008,65.103,76.913,3271.37,3249.88341935484,918,116,1
"CP02138",418.090810077604,418.083801269531,418.094879150391,72.976,69.04,77.896,1631.472,1618.13753846154,598,73,1
